 #time,    op/s
  1.0,    8914
  2.0,    7316
  3.0,   13673
  4.0,   11915
  5.0,    7191
  6.0,   12511
  7.0,   10733
  8.0,   12247
  9.0,    7693
 10.0,   13735
 11.0,   13008
 12.0,    6363
 13.0,   12294
 14.0,    9916
 15.0,    8843
 16.0,   10034
 17.0,   10945
 18.0,    9327
 19.0,    7573
 20.0,   13422
 21.0,    8695
 22.0,    5070
 23.0,    8734
 24.0,   11466
 25.0,   10468
 26.0,   10386
 27.0,    9477
 28.0,   15928
 29.0,    6113
 30.0,    9740
 31.0,    9945
 32.0,   11316
 33.0,    9249
 34.0,    8247
 35.0,   12964
 36.0,    7423
 37.0,   13132
 38.0,    9593
 39.0,   10980
 40.0,    6715
 41.0,   11230
 42.0,   10377
 43.0,    9893
 44.0,   11018
 45.0,   14033
 46.0,   12157
 47.0,   10334
 48.0,   10944
 49.0,    9712
 50.0,    9581
 51.0,   10363
 52.0,   11534
 53.0,   10494
 54.0,   13648
 55.0,    7887
 56.0,    8457
 57.0,   11123
 58.0,   11996
 59.0,    7612
 60.0,   11258
 61.0,   10473
 62.0,    9572
 63.0,   13314
 64.0,    7961
 65.0,   12977
 66.0,    7979
 67.0,   13025
 68.0,   11674
 69.0,    7455
 70.0,   13086
 71.0,    8118
 72.0,   10070
 73.0,   10296
 74.0,    6491
 75.0,   11780
 76.0,   10916
 77.0,   11363
 78.0,   11718
 79.0,    6066
 80.0,    9999
 81.0,    8213
 82.0,   10737
 83.0,    5809
 84.0,   10242
 85.0,    9604
 86.0,    9410
 87.0,    7534
 88.0,   15026
 89.0,   11522
 90.0,    7240
 91.0,   11628
 92.0,    8541
 93.0,   12327
 94.0,   12663
 95.0,    5973
 96.0,   12947
 97.0,   10391
 98.0,    8785
 99.0,    9715
100.0,    9401
101.0,    9782
102.0,    9934
103.0,    9728
104.0,   10020
105.0,   10318
106.0,    7153
107.0,    8889
108.0,   12660
109.0,    6095
110.0,   10232
111.0,   11268
112.0,    8786
113.0,   10730
114.0,   11186
115.0,   13233
116.0,    7060
117.0,    9856
118.0,   11105
119.0,   11772
120.0,   10997
121.0,    8681
122.0,   10485
123.0,   10260
124.0,   11490
125.0,   10706
126.0,   10253
127.0,    8333
128.0,   12069
129.0,   10739
130.0,    7806
131.0,    8569
132.0,   10881
133.0,    7768
134.0,   10675
135.0,   10927
136.0,    9151
137.0,    8248
138.0,    7215
139.0,   10065
140.0,    5688
141.0,    9693
142.0,    9185
143.0,    8530
144.0,    9013
145.0,    9285
146.0,    6678
147.0,   10236
148.0,    6509
149.0,   13729
150.0,    7888
151.0,    7564
152.0,    7676
153.0,    6659
154.0,   11964
155.0,   12327
156.0,    7728
157.0,   12448
158.0,    7303
159.0,   13038
160.0,    5110
161.0,    9419
162.0,    9398
163.0,   13290
164.0,   10713
165.0,   10783
166.0,    9366
167.0,    8915
168.0,   11060
169.0,    8939
170.0,   11367
171.0,    7260
172.0,    8083
173.0,   11403
174.0,   12485
175.0,    9055
176.0,    3376
177.0,   12992
178.0,    5810
179.0,   14370
180.0,    6480
181.0,    9099
182.0,   13769
183.0,    6918
184.0,   10545
185.0,    8036
186.0,    7321
187.0,   10935
188.0,    7066
189.0,   10375
190.0,    8746
191.0,    6833
192.0,    8560
193.0,    7111
194.0,   12697
195.0,    9697
196.0,    8654
197.0,   15941
198.0,    6661
199.0,   12112
200.0,    7834
