 #time,    op/s
  1.0,    3798
  2.0,    6823
  3.0,   10538
  4.0,    8672
  5.0,    8221
  6.0,    7599
  7.0,    6245
  8.0,    8730
  9.0,    7963
 10.0,    8026
 11.0,    6435
 12.0,    8984
 13.0,    7707
 14.0,    7821
 15.0,   10127
 16.0,    9101
 17.0,    5914
 18.0,   10337
 19.0,    7017
 20.0,   10587
 21.0,    7171
 22.0,    9562
 23.0,    6409
 24.0,    9928
 25.0,    7972
 26.0,    7441
 27.0,    8067
 28.0,    7706
 29.0,    7472
 30.0,    7315
 31.0,    8250
 32.0,    7181
 33.0,    7870
 34.0,    5569
 35.0,    9221
 36.0,    7319
 37.0,    5534
 38.0,    8867
 39.0,    8014
 40.0,    9035
 41.0,    5762
 42.0,    8013
 43.0,    5879
 44.0,    7873
 45.0,    6572
 46.0,    6038
 47.0,    7985
 48.0,    8689
 49.0,    7725
 50.0,    7907
 51.0,    6589
 52.0,    6999
 53.0,    8706
 54.0,    8271
 55.0,    6103
 56.0,    6342
 57.0,    5030
 58.0,    5803
 59.0,    5769
 60.0,    6654
 61.0,    5619
 62.0,    6648
 63.0,    5927
 64.0,    6458
 65.0,    7407
 66.0,    7405
 67.0,    9026
 68.0,    5112
 69.0,    9941
 70.0,   11377
 71.0,    6020
 72.0,    4908
 73.0,    9592
 74.0,    7748
 75.0,    9762
 76.0,    6923
 77.0,    6711
 78.0,    9776
 79.0,    8919
 80.0,    9354
 81.0,   11698
 82.0,    7726
 83.0,    9618
 84.0,    8185
 85.0,    7520
 86.0,    7783
 87.0,    7682
 88.0,    6564
 89.0,    8301
 90.0,    7215
 91.0,    9093
 92.0,    8043
 93.0,    5210
 94.0,    9349
 95.0,    6313
 96.0,    7282
 97.0,    7235
 98.0,    7800
 99.0,    9052
100.0,    9418
101.0,    8724
102.0,    8879
103.0,    8648
104.0,    8948
105.0,    7669
106.0,    8910
107.0,    8507
108.0,    7235
109.0,    7631
110.0,    9266
111.0,    9286
112.0,    4315
113.0,    6730
114.0,    7349
115.0,    6731
116.0,    6080
117.0,    7156
118.0,    8338
119.0,    6659
120.0,    6327
121.0,    5136
122.0,    6244
123.0,    7912
124.0,    7274
125.0,    8055
126.0,    7532
127.0,    5697
128.0,    7853
129.0,    8380
130.0,    6708
131.0,    8235
132.0,    6479
133.0,    7286
134.0,    7857
135.0,    8501
136.0,    7589
137.0,    6743
138.0,    8078
139.0,   10284
140.0,    6412
141.0,    9902
142.0,    8605
143.0,    7793
144.0,    7511
145.0,    9035
146.0,    8274
147.0,    9453
148.0,    7558
149.0,    7829
150.0,    5437
151.0,    6754
152.0,    8578
153.0,    5572
154.0,    7872
155.0,    7771
156.0,    8409
157.0,    6368
158.0,    7756
159.0,    7090
160.0,    8201
161.0,    7797
162.0,    6830
163.0,    8183
164.0,    8817
165.0,    7271
166.0,    7787
167.0,    6457
168.0,    9024
169.0,    5970
170.0,    8241
171.0,    6585
172.0,    9316
173.0,    7649
174.0,    8877
175.0,   10124
176.0,    8233
177.0,    8902
178.0,    8889
179.0,    7870
180.0,    7314
181.0,    8035
182.0,    7658
183.0,    7647
184.0,    7733
185.0,    7656
186.0,    7836
187.0,    5886
188.0,    4741
189.0,    6622
190.0,    8739
191.0,    5890
192.0,    6542
193.0,    5813
194.0,    5644
195.0,    6950
196.0,    7988
197.0,    8612
198.0,    8158
199.0,    6875
200.0,    7345
