 #time,    op/s
  1.0,    5631
  2.0,   10606
  3.0,    8711
  4.0,    3250
  5.0,    6419
  6.0,    9229
  7.0,   10954
  8.0,    5580
  9.0,   10529
 10.0,    5796
 11.0,    9618
 12.0,    9109
 13.0,    6968
 14.0,    7963
 15.0,    7975
 16.0,    9551
 17.0,    9397
 18.0,    7821
 19.0,    7280
 20.0,    8790
 21.0,    8804
 22.0,    7105
 23.0,    6781
 24.0,    5483
 25.0,    7516
 26.0,    7254
 27.0,    8141
 28.0,    7244
 29.0,    9373
 30.0,    8957
 31.0,    7644
 32.0,    7918
 33.0,    7615
 34.0,   10277
 35.0,    8418
 36.0,    9069
 37.0,    9695
 38.0,    6099
 39.0,    8868
 40.0,    6537
 41.0,    9022
 42.0,    7927
 43.0,    9862
 44.0,    6861
 45.0,    6595
 46.0,    9775
 47.0,    7923
 48.0,    8717
 49.0,    5435
 50.0,   12291
 51.0,    6310
 52.0,    8562
 53.0,    4936
 54.0,    7432
 55.0,    8581
 56.0,   10382
 57.0,    6149
 58.0,   10459
 59.0,    7829
 60.0,   11451
 61.0,    7376
 62.0,    7368
 63.0,    6985
 64.0,    7534
 65.0,    8366
 66.0,    8309
 67.0,    9690
 68.0,    6548
 69.0,    8585
 70.0,    8260
 71.0,    7775
 72.0,    6933
 73.0,   12322
 74.0,    5898
 75.0,    8152
 76.0,    7815
 77.0,    7776
 78.0,    7881
 79.0,    8246
 80.0,    7798
 81.0,    9363
 82.0,    7786
 83.0,    8992
 84.0,    5187
 85.0,    9808
 86.0,    6854
 87.0,    6592
 88.0,    7144
 89.0,    8650
 90.0,    6626
 91.0,    9725
 92.0,    6702
 93.0,    9681
 94.0,    7374
 95.0,    6318
 96.0,    8608
 97.0,   10028
 98.0,    6993
 99.0,    7429
100.0,    7419
101.0,    7362
102.0,    7410
103.0,    5806
104.0,    7814
105.0,    5542
106.0,    8554
107.0,    5459
108.0,    9071
109.0,    4822
110.0,    8566
111.0,    7418
112.0,    7630
113.0,    5837
114.0,    9906
115.0,    4855
116.0,    6573
117.0,    5615
118.0,    5918
119.0,    5632
120.0,    7622
121.0,    5688
122.0,    6869
123.0,   10004
124.0,    5867
125.0,    7682
126.0,    6802
127.0,    4052
128.0,    9005
129.0,    7447
130.0,    6100
131.0,    7701
132.0,    7202
133.0,    8037
134.0,    7101
135.0,    8587
136.0,    7329
137.0,    8929
138.0,    6747
139.0,    5603
140.0,    9863
141.0,   10715
142.0,    5730
143.0,    7553
144.0,    6852
145.0,   10199
146.0,    4311
147.0,    5045
148.0,    6538
149.0,   10420
150.0,    6956
151.0,    5316
152.0,    5781
153.0,    6763
154.0,    9898
155.0,    8839
156.0,    8227
157.0,    8031
158.0,    7492
159.0,    9857
160.0,    4568
161.0,    8310
162.0,    7893
163.0,    7439
164.0,    8779
165.0,    8025
166.0,    8713
167.0,    8730
168.0,    8386
169.0,    9493
170.0,    7562
171.0,   10420
172.0,    5267
173.0,    8393
174.0,   10263
175.0,    7144
176.0,    9264
177.0,    7196
178.0,    9445
179.0,    7640
180.0,    6738
181.0,    9521
182.0,    8741
183.0,    7011
184.0,    8858
185.0,    7407
186.0,    7378
187.0,    8618
188.0,    8993
189.0,    5483
190.0,   10421
191.0,    8236
192.0,    6095
193.0,    7734
194.0,    9786
195.0,    5290
196.0,    7799
197.0,    7497
198.0,    4507
199.0,   11864
200.0,    6210
